fight_url,date,fighter_0,fighter_1,round,ssl_0,ssa_0,tdl_0,tda_0,kd_0,ctrl_0,ssl_1,ssa_1,tdl_1,tda_1,kd_1,ctrl_1
http://ufcstats.com/fight-details/ee9ade72b44dfa06,2024-09-07,Gilbert Burns,Sean Brady,5,9,20,0,0,0,0,31,49,3,4,0,159
http://ufcstats.com/fight-details/bcfaf1dd78f12f97,2024-09-07,Jessica Andrade,Natalia Silva,1,24,56,0,0,0,4,33,74,0,0,0,0
http://ufcstats.com/fight-details/bcfaf1dd78f12f97,2024-09-07,Jessica Andrade,Natalia Silva,2,11,37,0,0,0,55,37,69,0,0,0,46
http://ufcstats.com/fight-details/bcfaf1dd78f12f97,2024-09-07,Jessica Andrade,Natalia Silva,3,15,47,0,1,0,72,47,65,0,1,0,3
http://ufcstats.com/fight-details/fe59646ebad8b6e4,2024-09-07,Matt Schnell,Cody Durden,1,40,80,0,0,0,0,33,77,0,0,0,0
http://ufcstats.com/fight-details/fe59646ebad8b6e4,2024-09-07,Matt Schnell,Cody Durden,2,0,3,0,1,0,0,1,1,0,0,0,10
http://ufcstats.com/fight-details/75fa9c0bb31caaa3,2024-09-07,Trevor Peek,Yanal Ashmouz,1,16,33,0,0,0,4,4,11,1,3,0,149
http://ufcstats.com/fight-details/75fa9c0bb31caaa3,2024-09-07,Trevor Peek,Yanal Ashmouz,2,22,33,0,1,0,22,10,16,6,9,0,161
http://ufcstats.com/fight-details/75fa9c0bb31caaa3,2024-09-07,Trevor Peek,Yanal Ashmouz,3,17,41,0,0,0,4,28,39,2,6,0,186
http://ufcstats.com/fight-details/b80c6eba11c54778,2024-09-07,Rongzhu,Chris Padilla,1,27,54,0,0,0,0,35,53,0,0,0,0
http://ufcstats.com/fight-details/b80c6eba11c54778,2024-09-07,Rongzhu,Chris Padilla,2,22,34,0,0,0,12,33,52,0,1,0,0
http://ufcstats.com/fight-details/abfd5ac6cf186d8a,2024-09-07,Isaac Dulgarian,Brendon Marotte,1,39,54,1,1,0,297,2,6,0,0,0,0
http://ufcstats.com/fight-details/abfd5ac6cf186d8a,2024-09-07,Isaac Dulgarian,Brendon Marotte,2,2,2,1,1,0,255,1,1,0,0,0,0
http://ufcstats.com/fight-details/69bde5bae0d6ec4f,2024-09-07,Felipe dos Santos,Andre Lima,1,25,47,0,6,0,41,10,23,0,0,0,47
http://ufcstats.com/fight-details/69bde5bae0d6ec4f,2024-09-07,Felipe dos Santos,Andre Lima,2,8,17,0,1,0,0,6,9,1,1,0,246
http://ufcstats.com/fight-details/69bde5bae0d6ec4f,2024-09-07,Felipe dos Santos,Andre Lima,3,5,12,0,1,0,0,2,5,1,1,0,247
http://ufcstats.com/fight-details/6e9876d2be2bbd02,2024-09-07,Yizha,Gabriel Santos,1,23,41,0,0,0,0,46,73,0,0,1,11
http://ufcstats.com/fight-details/6e9876d2be2bbd02,2024-09-07,Yizha,Gabriel Santos,2,15,40,0,2,0,4,19,27,1,1,0,143
http://ufcstats.com/fight-details/6e9876d2be2bbd02,2024-09-07,Yizha,Gabriel Santos,3,3,11,0,2,0,0,11,12,1,1,0,241
http://ufcstats.com/fight-details/f734b497add754af,2024-09-07,Andre Petroski,Dylan Budka,1,8,17,1,1,0,166,4,16,0,0,0,0
http://ufcstats.com/fight-details/f734b497add754af,2024-09-07,Andre Petroski,Dylan Budka,2,7,12,1,2,0,227,8,18,0,0,0,0
http://ufcstats.com/fight-details/f734b497add754af,2024-09-07,Andre Petroski,Dylan Budka,3,8,17,1,2,0,167,5,19,0,0,0,0
http://ufcstats.com/fight-details/0c418b9cdfd525c9,2024-09-07,Zygimantas Ramaska,Nathan Fletcher,1,6,8,0,0,0,105,13,19,3,4,0,148
http://ufcstats.com/fight-details/0c418b9cdfd525c9,2024-09-07,Zygimantas Ramaska,Nathan Fletcher,2,0,2,0,0,0,6,1,1,1,2,0,42
http://ufcstats.com/fight-details/3146e5a47a922976,2024-09-14,Sean O'Malley,Merab Dvalishvili,1,14,28,0,0,0,0,16,30,2,3,0,80
http://ufcstats.com/fight-details/3146e5a47a922976,2024-09-14,Sean O'Malley,Merab Dvalishvili,2,5,10,0,0,0,0,18,38,1,1,0,192
http://ufcstats.com/fight-details/3146e5a47a922976,2024-09-14,Sean O'Malley,Merab Dvalishvili,3,11,21,0,0,0,0,17,38,0,5,0,52
http://ufcstats.com/fight-details/3146e5a47a922976,2024-09-14,Sean O'Malley,Merab Dvalishvili,4,6,9,0,0,0,0,21,32,1,1,0,217
http://ufcstats.com/fight-details/3146e5a47a922976,2024-09-14,Sean O'Malley,Merab Dvalishvili,5,11,21,0,0,0,0,10,26,2,5,0,62
http://ufcstats.com/fight-details/6f83cfae0c800ef8,2024-09-14,Alexa Grasso,Valentina Shevchenko,1,2,19,0,0,0,0,10,18,1,1,0,208
http://ufcstats.com/fight-details/6f83cfae0c800ef8,2024-09-14,Alexa Grasso,Valentina Shevchenko,2,2,13,0,0,0,0,3,8,2,2,0,237
http://ufcstats.com/fight-details/6f83cfae0c800ef8,2024-09-14,Alexa Grasso,Valentina Shevchenko,3,5,35,0,0,0,0,16,26,1,2,0,140
