fighter,ew_avg_SIG_STR_pct,ew_avg_SIG_STR_landed,ew_avg_TD_pct,ew_avg_TD_landed,ew_avg_SUB_ATT,ew_ko_finish_rate
Ben Rothwell,0.4198126952784096,2.1985082354122896,0.532711516240277,0.6191129116498725,0.3643661790662642,0.6277897749868524
Gilbert Yvel,0.35449621723567415,18.35496451860586,0.0,0.0,1.0236643012403908,0.0
Paulo Thiago,0.3420183817640232,19.020492516249664,0.27056759330003577,1.2012031724793937,0.8499628815766828,0.18025374547988257
Martin Kampmann,0.395524122745162,28.535863935365228,0.2777188092107309,0.7923825952891602,1.2360402815692382,0.19716013332647322
Mike Pyle,0.370882817745655,21.04171333055049,0.19529439590541364,0.7780369502480305,0.707344667567977,0.5650325199166146
Jesse Lennox,0.245,29.5,0.5,1.0,0.5,0.0
Mac Danzig,0.49161595731906477,37.93421567480578,0.3357568388011104,1.0008645907113944,0.4848355462526882,0.2119264432226078
Matt Wiman,0.5034527226338162,-28.28932702959242,0.41398015325963433,2.493593088466067,1.6601688543506936,0.16263351636719386
David Loiseau,0.475,20.5,0.313,0.375,0.125,0.5
James Wilks,0.46706023478115544,24.86748360776428,0.4294762653024104,1.3282794309906993,3.954823914133468,0.0
Peter Sobotta,0.39258208375195586,-14.68902037410766,0.3715450132953129,2.0312298932986326,0.6268617193232497,0.3401981278365929
Brad Tavares,0.4361896018132301,-6.162866058970616,0.26232832712230036,0.461826737830031,0.0,0.10069836116517528
Seth Baczynski,0.33274949447936486,32.01336554658305,0.12997166023502674,0.6437532988359413,0.41063741637661266,0.2016736949555737
Chris Camozzi,0.49667447071157256,43.00677964953705,0.12529657244744716,0.2816492419101696,0.3230432502200914,0.1451027854554216
James Hammortree,0.0,0.0,0.0,0.0,0.0,0.0
Josh Bryant,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Noke,0.5357342608542707,33.03758367725171,0.3323989032959471,0.9179538655980587,0.26036037555913033,0.5203202222440831
John Gunderson,0.2788365104616125,16.234888395608927,0.7460851934065179,2.5234888395608928,1.9686815472521433,0.0
Mark Holst,0.12,2.0,1.0,1.0,3.0,0.0
James Mcsweeney,0.5742589061301961,31.44947312528859,0.24470647235854415,0.4894129447170883,0.9788258894341766,1.0
Travis Browne,0.45333365567147044,23.71609519732824,0.26388889719276964,0.5451535496654234,0.09072812343748621,0.7992794712909072
Spencer Fisher,0.4557121485430061,35.40835393922239,0.17954226514330646,0.5577950916035768,0.6136095192208416,0.22025363045935523
Chris Leben,0.45492217730675993,26.617664752071736,0.34725604967361595,0.7771939057301946,0.4838626688572617,0.5860615066139235
Aaron Simpson,0.5565006402040726,43.64493619278247,0.3682680975128971,3.1208923194027616,0.30086230656688695,0.2547276122285804
Keith Jardine,0.379,39.4167,0.125,0.25,0.0,0.3333333333333333
Matt Hamill,0.4272029983347308,37.45875416691426,0.4469567202104109,2.084035295092745,0.0,0.46882522369716667
Court Mcgee,0.3533273830646501,-13.524379186868037,0.22433330392896078,1.7181498559641997,0.5754984874025562,0.0
Kris Mccray,0.3260648935558175,10.810685590076874,0.5118321506201954,1.0236643012403908,0.0,0.0
Jamie Yager,0.0,0.0,0.0,0.0,0.0,0.0
