fighter,weight_class,n_fights,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TD_pct,avg_TD_landed,avg_SUB_ATT,ko_finish_rate,cluster_id,style
Matthew Riddle,Welterweight,6,0.511,43.5,0.563,3.3,0.6,0.16666666666666666,3,Wrestler/Grappler
Matthew Semelsberger,Welterweight,11,0.42,3.77,0.57,1.01,0.4,0.4,2,Well-Rounded
Maurice Greene,Heavyweight,8,0.45,3.28,0.0,0.0,0.4,0.25,2,Well-Rounded
Mauricio Rua,Light Heavyweight,19,0.5,3.57,0.48,2.01,0.7,0.7777777777777778,4,Pressure Striker
Mauricio Ruffy,Lightweight,4,0.58,4.19,0.0,0.0,0.0,0.75,4,Pressure Striker
Max Griffin,Welterweight,19,0.4689,5.9344,0.4025,1.4432,0.282,0.3333333333333333,2,Well-Rounded
Max Holloway,Lightweight,4,0.48,6.91,0.53,0.23,0.3,0.4782608695652174,2,Well-Rounded
Maxim Grishin,Light Heavyweight,3,0.52,3.26,0.16,0.21,0.0,0.5,4,Pressure Striker
Maximo Blanco,Featherweight,9,0.466,41.375,0.466,1.375,0.25,0.25,0,Volume Striker
Maycee Barber,Women's Flyweight,12,0.53,4.56,0.45,1.56,0.1,0.45454545454545453,2,Well-Rounded
Mayra Bueno Silva,Women's Bantamweight,7,0.5614,5.7364,0.2123,0.4636,1.2727,0.0,1,Submission Grappler
Megan Anderson,Women's Featherweight,6,0.46,1.76,0.25,0.52,0.5,0.6666666666666666,4,Pressure Striker
Melissa Croden,Women's Bantamweight,3,0.4655,36.55,0.5,2.51,0.5,0.5,0,Volume Striker
Melissa Gatto,Women's Flyweight,5,0.4905,10.0414,0.274,1.7979,0.3929,1.0,4,Pressure Striker
Melissa Martinez,Women's Strawweight,3,0.47,3.78,0.5,0.35,0.0,0.0,2,Well-Rounded
Melissa Mullins,Women's Bantamweight,4,0.5,3.71,0.42,2.03,0.0,0.5,2,Well-Rounded
Melquizael Costa,Featherweight,7,0.49,4.38,0.4,2.0,1.1,0.16666666666666666,1,Submission Grappler
Melsik Baghdasaryan,Featherweight,5,0.59,5.04,0.0,0.0,0.0,0.25,4,Pressure Striker
Melvin Guillard,Lightweight,11,0.41,20.2857,0.298,0.6667,0.0952,0.5833333333333334,4,Pressure Striker
Merab Dvalishvili,Bantamweight,16,0.41,4.42,0.35,5.97,0.3,0.07142857142857142,3,Wrestler/Grappler
Michael Bisping,Middleweight,18,0.383,55.7143,0.239,0.9286,0.1786,0.5,0,Volume Striker
Michael Chandler,Lightweight,7,0.49,4.04,0.41,1.96,0.6,0.75,4,Pressure Striker
Michael Chiesa,Welterweight,11,0.4,2.02,0.47,3.11,1.0,0.0,3,Wrestler/Grappler
Michael Johnson,Lightweight,28,0.39,4.27,0.38,0.57,0.0,0.375,2,Well-Rounded
Michael Kuiper,Middleweight,4,0.513,33.3333,0.5,1.3333,0.0,1.0,4,Pressure Striker
Michael Mcdonald,Bantamweight,9,0.41,25.25,0.188,0.75,0.875,0.3333333333333333,0,Volume Striker
Michael Morales,Welterweight,7,0.49,5.68,0.41,1.04,0.0,0.5714285714285714,4,Pressure Striker
Michael Page,Welterweight,3,0.58,2.28,0.16,0.19,0.0,0.0,2,Well-Rounded
Michael Trizano,Featherweight,5,0.53,3.63,0.66,0.36,0.5,0.0,2,Well-Rounded
Michal Oleksiejczuk,Middleweight,10,0.53,5.85,0.42,1.02,0.0,0.8888888888888888,4,Pressure Striker
Michel Pereira,Middleweight,7,0.51,4.46,0.56,1.21,0.7,0.2222222222222222,2,Well-Rounded
Michel Prazeres,Welterweight,5,0.47,2.44,0.36,4.11,0.6,0.0,3,Wrestler/Grappler
Michelle Waterson-Gomez,Women's Strawweight,4,0.46,3.42,0.33,1.39,0.6,0.0,2,Well-Rounded
Michihiro Omigawa,Featherweight,5,0.403,29.3333,0.442,1.3333,1.3333,0.0,1,Submission Grappler
Michinori Tanaka,Bantamweight,5,0.45,30.0,0.458,2.5,0.25,0.0,0,Volume Striker
Mick Parkin,Heavyweight,5,0.5,4.7,0.46,1.38,0.2,0.2,2,Well-Rounded
Mickey Gall,Welterweight,13,0.49,3.5,0.32,1.15,1.6,0.0,1,Submission Grappler
Miesha Tate,Women's Bantamweight,13,0.44,2.62,0.3,1.97,1.2,0.07692307692307693,1,Submission Grappler
Miguel Baeza,Welterweight,7,0.49,4.09,0.22,0.36,2.0,0.5,1,Submission Grappler
Miguel Torres,Bantamweight,4,0.473,49.0,0.0,0.0,1.0,0.0,0,Volume Striker
Mike Breeden,Lightweight,4,0.45,5.75,0.3,0.98,0.0,0.0,2,Well-Rounded
Mike Brown,Featherweight,5,0.592,38.8,0.484,2.6,0.0,0.0,3,Wrestler/Grappler
Mike Davis,Lightweight,7,0.53,4.73,0.44,2.4,0.8,0.25,3,Wrestler/Grappler
Mike De La Torre,Featherweight,5,0.402,22.1667,0.083,0.1667,0.0,0.5,4,Pressure Striker
Mike Easton,Bantamweight,7,0.372,51.5,0.2,0.8333,0.0,0.3333333333333333,0,Volume Striker
Mike Grundy,Featherweight,4,0.45,2.09,0.28,4.06,0.4,1.0,4,Pressure Striker
Mike Guymon,Welterweight,3,0.357,21.6667,0.333,1.0,0.6667,0.0,2,Well-Rounded
Mike Jackson,Welterweight,4,0.57,4.49,0.33,0.71,0.0,0.0,2,Well-Rounded
Mike Malott,Welterweight,8,0.4779,14.202,0.4375,1.5843,0.6742,0.3333333333333333,2,Well-Rounded
Mike Massenzio,Middleweight,4,0.308,17.1667,0.292,1.5,0.8333,0.0,2,Well-Rounded
Mike Perry,Welterweight,15,0.47,4.32,0.4,0.81,0.2,0.5714285714285714,4,Pressure Striker
Mike Pierce,Welterweight,12,0.457,30.7692,0.388,2.3846,0.2308,0.3333333333333333,0,Volume Striker
Mike Pyle,Welterweight,16,0.385,21.0556,0.211,0.8889,0.7778,0.5,4,Pressure Striker
Mike Rhodes,Welterweight,3,0.4,49.0,0.25,1.0,0.5,0.0,0,Volume Striker
Mike Rio,Lightweight,4,0.463,13.0,0.23,1.6667,0.3333,0.0,2,Well-Rounded
Mike Rodriguez,Light Heavyweight,7,0.53,4.35,0.0,0.0,0.0,1.0,4,Pressure Striker
Mike Russow,Heavyweight,5,0.418,14.6,0.364,3.4,0.4,0.25,3,Wrestler/Grappler
Mike Santiago,Featherweight,3,0.495,37.5,0.64,2.5,1.0,0.0,3,Wrestler/Grappler
Mike Swick,Welterweight,3,0.44,19.1429,0.316,0.5714,0.3571,0.5,4,Pressure Striker
Mike Wilkinson,Featherweight,3,0.577,21.3333,0.36,0.6667,0.0,0.5,4,Pressure Striker
Milana Dudieva,Women's Bantamweight,3,0.15,5.5,0.45,1.5,0.0,0.0,2,Well-Rounded
Miles Johns,Bantamweight,10,0.44,3.36,0.26,1.22,0.0,0.2857142857142857,2,Well-Rounded
Minotauro Nogueira,Heavyweight,6,0.378,20.5,0.131,0.7,1.0,0.2,1,Submission Grappler
Miranda Granger,Women's Strawweight,3,0.47,2.79,0.0,0.0,0.0,0.0,2,Well-Rounded
Miranda Maverick,Women's Flyweight,13,0.44,3.22,0.4,2.16,0.4,0.125,2,Well-Rounded
Mirko Cro Cop,Heavyweight,5,0.436,21.5,0.2,0.2,0.3,0.5,4,Pressure Striker
Mirsad Bektic,Featherweight,10,0.41,2.59,0.47,3.32,0.5,0.3333333333333333,3,Wrestler/Grappler
Misha Cirkunov,Light Heavyweight,11,0.51,3.86,0.39,4.15,1.7,0.16666666666666666,3,Wrestler/Grappler
Mitch Clarke,Lightweight,7,0.322,23.0,0.062,0.5,0.3333,0.0,0,Volume Striker
Mitch Gagnon,Bantamweight,8,0.461,28.5714,0.301,0.8571,1.1429,0.0,1,Submission Grappler
Mitch Raposo,Flyweight,3,0.36,1.73,0.37,2.54,0.0,0.0,2,Well-Rounded
Modestas Bukauskas,Light Heavyweight,12,0.42,3.24,0.66,0.26,0.1,0.42857142857142855,2,Well-Rounded
Mohammed Usman,Heavyweight,6,0.39,3.85,0.14,0.56,0.0,0.3333333333333333,2,Well-Rounded
Molly Mccann,Women's Strawweight,3,0.49,5.28,0.36,1.78,0.5,0.2857142857142857,2,Well-Rounded
Montana De La Rosa,Women's Flyweight,11,0.37,2.9,0.33,1.85,0.8,0.2,2,Well-Rounded
Montel Jackson,Bantamweight,13,0.5208,6.1781,0.5815,2.7097,0.271,0.36363636363636365,3,Wrestler/Grappler
Montserrat Conejo Ruiz,Women's Strawweight,3,0.29,2.21,0.5,1.75,0.6,0.0,2,Well-Rounded
Morgan Charriere,Featherweight,6,0.5,4.02,0.46,2.06,0.3,1.0,4,Pressure Striker
Mounir Lazzez,Welterweight,4,0.55,7.49,0.57,1.8,0.0,0.0,2,Well-Rounded
Movsar Evloev,Featherweight,9,0.47,3.91,0.52,4.78,0.2,0.0,3,Wrestler/Grappler
Muhammad Mokaev,Flyweight,7,0.45,1.61,0.41,5.29,0.8,0.0,3,Wrestler/Grappler
Muhammad Naimov,Featherweight,6,0.4,2.51,0.3,1.49,0.2,0.4,2,Well-Rounded
Muin Gafurov,Bantamweight,5,0.47,3.36,0.28,1.57,0.0,0.0,2,Well-Rounded
Muslim Salikhov,Welterweight,14,0.49,3.37,0.32,1.07,0.0,0.5555555555555556,4,Pressure Striker
Myktybek Orolbai,Welterweight,3,0.5,2.78,0.59,8.77,0.5,0.25,3,Wrestler/Grappler
Myles Jury,Featherweight,5,0.366,22.8182,0.451,1.4545,0.1818,0.375,2,Well-Rounded
Naoyuki Kotani,Lightweight,3,0.278,8.5,0.375,0.5,0.75,0.0,2,Well-Rounded
Nasrat Haqparast,Lightweight,15,0.45,6.36,0.2,0.34,0.0,0.2,2,Well-Rounded
Nassourdine Imavov,Middleweight,10,0.54,4.28,0.32,0.74,1.0,0.5,4,Pressure Striker
Natalia Silva,Women's Flyweight,8,0.45,4.81,0.3,0.43,0.0,0.2857142857142857,2,Well-Rounded
Natan Levy,Lightweight,4,0.52,3.7,0.58,5.03,0.5,0.0,3,Wrestler/Grappler
Nate Diaz,Welterweight,10,0.45,4.57,0.3,1.05,1.3,0.21052631578947367,1,Submission Grappler
Nate Landwehr,Featherweight,11,0.455,7.5709,0.369,0.7302,0.7686,0.2,2,Well-Rounded
Nate Maness,Flyweight,3,0.5,3.14,0.75,0.68,0.7,0.5,2,Well-Rounded
Nate Marquardt,Middleweight,12,0.519,24.9583,0.456,1.375,0.5833,0.46153846153846156,4,Pressure Striker
Nathan Coy,Welterweight,3,0.365,24.0,0.8,2.0,0.0,0.0,2,Well-Rounded
Nathaniel Wood,Featherweight,8,0.51,5.64,0.48,1.35,0.5,0.0,2,Well-Rounded
Navajo Stirling,Light Heavyweight,4,0.52,6.25,0.28,0.98,0.0,0.25,2,Well-Rounded
Nazim Sadykhov,Lightweight,5,0.49,4.79,0.45,1.1,0.2,0.8,4,Pressure Striker
Neil Magny,Welterweight,37,0.46,3.4,0.39,2.17,0.3,0.2916666666666667,2,Well-Rounded
Neil Seery,Flyweight,7,0.407,43.6667,0.288,0.8333,1.6667,0.0,1,Submission Grappler
Nick Hein,Lightweight,8,0.317,34.1429,0.151,0.7143,0.0,0.0,0,Volume Striker
Nick Maximov,Middleweight,4,0.45,1.93,0.45,4.16,0.2,0.0,3,Wrestler/Grappler
Nick Osipczak,Welterweight,3,0.505,29.25,0.375,0.75,1.0,0.5,4,Pressure Striker
Nick Pace,Bantamweight,3,0.33,24.5,0.635,4.5,1.0,0.0,3,Wrestler/Grappler
Nick Ring,Middleweight,6,0.426,56.4,0.2,1.0,0.2,0.0,0,Volume Striker
Nico Musoke,Welterweight,5,0.398,45.6,0.346,1.0,0.2,0.0,0,Volume Striker
Nicolae Negumereanu,Light Heavyweight,6,0.41,3.58,0.28,1.02,0.0,0.5,2,Well-Rounded
