fighter,glicko_rating,glicko_rd,glicko_sigma
Patricio Freire,1848.5702693811074,279.7052115862386,0.06000488328869755
Kelvin Gastelum,1848.2075333486464,90.73603781371571,0.06000208311753252
Bo Nickal,1846.2088445906675,155.80984389325226,0.05999451832571753
Stephan Bonnar,1846.0171692677998,192.0800756872492,0.05999880455145707
Volkan Oezdemir,1845.5559405074732,105.5379064284192,0.060005898616201356
Jamahal Hill,1845.3780775471062,117.71747989740096,0.059999522435554106
Joanna Jedrzejczyk,1845.1039302257243,117.08215584695623,0.06000007060159883
David Teymur,1844.6880764789662,167.89421478585973,0.05999858611612629
Tracy Cortez,1843.9626378110775,141.5625525400782,0.05999273666159974
Francisco Trinaldo,1843.3486087072451,91.18360184116239,0.059985629518434995
Alexa Grasso,1842.410046026273,113.34818171802016,0.06000210730857086
Maycee Barber,1841.8466071832518,118.02028003247254,0.060001583097525055
Navajo Stirling,1841.2904678238172,196.54378493736604,0.059996825995569235
Urijah Faber,1840.53305363051,110.0672747564228,0.05999786977478748
Tj Grant,1839.6853168994444,149.1640333126051,0.060003606587480184
Yan Xiaonan,1839.0258656479386,115.0138581681977,0.05999434399253175
Ludovit Klein,1838.06359282644,125.44860975338582,0.05999895727435755
Germaine De Randamie,1837.1290335707097,132.45334378117124,0.05999721953031067
James Krause,1836.6782291562397,120.20412739764559,0.060004878174158095
Tony Ferguson,1835.0789678280507,95.08014482814781,0.06000517074901239
Mario Pinto,1835.0642370747346,213.33748577164243,0.05999861224757566
Chris Duncan,1834.2913956452885,143.06490844563206,0.05999650365069205
Aleksandar Rakic,1834.2229765971904,120.70804135437541,0.05999411116711714
Montel Jackson,1834.1557129776957,121.0299953466836,0.059997822184413054
Rob Font,1833.4859026522827,95.92976449387794,0.060002860265765005
Baisangur Susurkaev,1832.9457528122314,219.27456394931335,0.05999805831893324
Kalinn Williams,1832.414229744265,282.1306008463251,0.0600018291169225
Elias Theodorou,1832.217430919278,122.24833883376536,0.059997791221145194
Roman Dolidze,1831.7526045765348,105.85773676332023,0.0599977461983852
Virna Jandiroba,1831.5259936100945,115.77180261131394,0.060010183740503736
Kevin Holland,1829.8173068020562,84.66609637288991,0.05999640859476805
Martin Buday,1829.8026270147486,165.12460461349667,0.0599969238493454
Marlon Vera,1829.6564875148044,91.15268710898995,0.06000348463866831
Diego Ferreira,1829.3007795460926,103.91778927739438,0.06000076203154455
Raquel Pennington,1829.1344803197735,100.88626808401042,0.05999737124107515
Ateba Gautier,1827.9970630575929,196.7438817381806,0.059995922960785535
Casey Kenney,1827.3192949521863,140.61140520881548,0.06000300018727649
Jose Delgado,1827.1318142780965,185.88972927971614,0.060000892225434234
Elijah Smith,1826.9577947849566,206.99066091498017,0.059998558288527695
Adlan Amagov,1826.892144328979,235.77590245335597,0.05999957071766877
Raphael Assuncao,1825.9870378492963,107.81752779260876,0.060001490239145194
Giga Chikadze,1825.5528073697928,122.03480004972411,0.05999561990015973
Kai Kara-France,1825.161783739278,125.44098671639298,0.05999882611701093
Joanderson Brito,1824.3946991189782,142.91788979117962,0.06000350914941051
Cub Swanson,1824.046490629433,91.4871001502791,0.05999468780764237
Cody Garbrandt,1823.452010320476,106.92777793798143,0.05999987886821867
Muslim Salikhov,1823.0726453029656,114.1642052040669,0.06001163663712768
Junior Dos Santos,1822.100780235863,100.92098444318084,0.059996730328488956
Daniil Donchenko,1821.295001214903,227.6455011065874,0.059999253899143457
William Gomis,1821.2626525140174,163.06082514541185,0.05999866662069254
Brandon Royval,1820.611577234265,112.43852970807444,0.06000237729297007
Nursulton Ruziboev,1819.8159047792071,185.24116340488013,0.05999924308498057
Mairbek Taisumov,1819.762544902937,148.1217554046151,0.059999789416980656
Marcus Mcghee,1819.649160446679,174.59287571431278,0.05999729198299107
Jeremiah Wells,1818.3846117443834,163.70576049562226,0.06000544160798283
Edson Barboza,1818.281657641138,86.38702995780241,0.05999633984981149
Christian Leroy Duncan,1818.111228206387,132.54887372157563,0.05999580261699548
Saidyokub Kakhramonov,1818.0043723753874,208.90386437095802,0.06000081360052729
Omari Akhmedov,1817.6146582837596,110.72832473033066,0.06000188160887122
Nazim Sadykhov,1816.3824533001214,170.95915372143807,0.05999772220738433
Abus Magomedov,1816.1612443759984,148.60679813068188,0.05999933434868678
Jakub Wiklacz,1815.8763565491317,237.4218211326016,0.059999613274531204
Daniel Santos,1815.7492000307789,179.86534201216654,0.06000081440269512
Said Nurmagomedov,1815.737099473219,127.72470251653282,0.06000010468153795
Phil Davis,1815.0064646173726,136.21526019607967,0.060001803339509184
Jacare Souza,1814.4958287767117,105.99847602755025,0.060012001205514795
Rafa Garcia,1814.4556135434182,127.4580240638298,0.060002098129530924
Youssef Zalal,1814.1325505744173,135.8329939446549,0.06001693498410342
Kevin Lee,1813.725337556169,99.85673137500649,0.059999001508557206
Lyoto Machida,1813.255076423619,116.65408312912209,0.0600036960406027
Santiago Ponzinibbio,1812.182852551929,97.54146525511861,0.06001114697310793
Michel Prazeres,1811.5526082765311,126.41971064985886,0.06000536075158312
Dan Ige,1811.1228607517828,96.50286373722078,0.05999575886123383
Jonathan Martinez,1811.1199971502822,109.47514710625272,0.060010831849050386
Jack Hermansson,1809.5862577330843,98.32789919028399,0.0600108650375185
Uriah Hall,1807.466482529399,103.17359427070208,0.06001144269637366
Serghei Spivac,1807.444173479435,109.79216424806118,0.06000099623243349
Mason Jones,1807.4248918562862,164.3608748685932,0.05999976400970689
Corey Anderson,1807.067730810073,108.87177024509728,0.0600047499608052
Ricky Simon,1806.9697262524933,102.4662061631563,0.05999411855471235
Alexandr Romanov,1806.453345450118,132.72937585241613,0.05999541100685953
Elizeu Zaleski Dos Santos,1806.2623835408442,123.31002801791337,0.060007303850605556
Luana Santos,1805.8050452684479,163.4968555968935,0.05999829442054231
Gunnar Nelson,1805.4656923305415,105.59099635187208,0.059997479535355926
Dong Hyun Kim,1804.085202629447,121.10127146455417,0.05999765055336299
Ailin Perez,1803.3752660127893,141.72867430466025,0.059996513163269746
Johny Hendricks,1803.3684798542895,100.52023745753421,0.05999934533745018
Katlyn Chookagian,1803.3581586332525,106.26521640420951,0.060001926356243185
Amir Albazi,1803.2970741055137,155.83786347021652,0.059996098841623886
Muhammad Naimov,1802.3682859464166,171.48935372992344,0.06000156968740403
Tim Kennedy,1802.0925444847603,165.71479905758306,0.059997000929173094
Carla Esparza,1800.8901158708475,117.7730136109282,0.06001479397174402
Raul Rosas Jr.,1799.8422786924139,151.91227350353486,0.05999826327889631
Jean-Paul Lebosnoyani,1799.7447933297467,275.37119118313035,0.060001167217828395
Felipe Lima,1799.649359008945,227.38045558597304,0.06000630766980889
Zak Cummings,1798.8654948808344,116.0474769139944,0.05999132026225874
Calvin Kattar,1798.757152461585,106.34382824101718,0.06000016186434763
Marvin Vettori,1798.3583919338016,100.94683046014877,0.05999960476877878
Uros Medic,1798.0203040467927,129.2740641707995,0.060008863640269125
Rocco Martin,1797.6210010625464,283.63098839671625,0.060004870978093566
Thiago Santos,1797.5778721668635,94.17776871009785,0.06000369864675956
Michelle Montague,1796.1656748136277,217.12296296402045,0.05999853705595364
Alexia Thainara,1795.7287290614934,203.19529265665795,0.05999759761922829
Claude Patrick,1795.589560660018,192.74275768203756,0.059998126336483944
Ryan Laflare,1795.286522589061,133.1889058275658,0.06000125705884117
Mick Parkin,1794.7241728117565,184.9445263728967,0.05999944848410032
David Onama,1794.4719441005227,141.26085724738738,0.06000350060572458
Brunno Ferreira,1793.7058297037202,137.09685842935582,0.06000041987259587
Mackenzie Dern,1793.4989211723162,104.69929760123455,0.059989314227213375
Damir Ismagulov,1792.9528969747498,166.99459810979442,0.05999508706719482
Justin Willis,1792.1829398364673,177.60011548792158,0.05999724984807302
Paul Felder,1791.9971107304505,104.82455531294967,0.06000221055789172
Nikita Krylov,1791.588689631703,95.75594090472487,0.06000275033056481
Pedro Munhoz,1791.3192257977819,95.43550965911287,0.05999650912479487
Marquel Mederos,1791.0812071770524,193.58510792714694,0.05999575867182983
Michel Pereira,1790.7097098070487,115.03061163108083,0.06001009419406819
Johnny Walker,1789.7150425094774,103.060255135193,0.05999933387814502
Jessica Andrade,1789.7116126758656,86.68133621265531,0.06000539174730129
Allan Nascimento,1789.53048160188,182.11590362748893,0.059998729640740586
Anthony Rocco Martin,1789.4043178288352,118.21885624920725,0.060007458107114595
Jake Matthews,1788.9242006516224,96.64355308547,0.05999122980889058
Danny Silva,1788.8625693432828,209.93861032609414,0.06000224580963107
Lerryan Douglas,1788.4640503861422,268.4674241642218,0.060000885618567056
Jeff Molina,1788.1187827002757,236.4116451914144,0.05999823656436473
Erik Perez,1787.298869479047,140.55017017915245,0.059996210494309164
Nicolas Dalby,1787.1717579684378,120.88917304220958,0.06002198283735055
Michael Graves,1786.9342580401333,245.6043811611683,0.05999917917321093
Mark Madsen,1785.9230432250251,153.19055296035611,0.05999805784822379
Jared Rosholt,1785.48286522209,156.10086126786314,0.06000360287473128
Javier Reyes,1785.4411500986696,269.1481179637081,0.060000848517587586
James Vick,1784.9805858635796,115.8498262413873,0.06000487883039357
Francis Carmont,1784.86626193753,149.92602624308049,0.060000072540711324
Aleksandre Topuria,1784.47926513747,242.94249890495084,0.059999070363640286
Ketlen Vieira,1784.2546488404223,110.19759849408074,0.05999806808598607
Maiquel Falcao,1783.8065409193446,290.439975932189,0.06000114622086139
Nasrat Haqparast,1783.0566956063074,112.15084914278806,0.060005406449156085
Mizuki,1782.3570292375732,232.68175417968862,0.059999588452451375
Luke Riley,1782.1495660918772,234.79665227364265,0.05999884924904815
Khalil Rountree Jr.,1781.7040774702552,111.9021085887479,0.06001572815901941
Andre Muniz,1781.0397907286576,127.54336522686341,0.06000288629009329
Da-Un Jung,1780.7884325672746,295.7283292202042,0.06000118405318574
Brett Johns,1780.4272272236642,150.59170567406966,0.05999708866344918
Jussier Formiga,1780.2411710121924,104.70769452633368,0.05999809905271824
John Dodson,1779.836257873565,108.64020800166135,0.059997708002381966
Khalid Murtazaliev,1778.6826885873816,267.6349106645338,0.060000723172173746
Victor Valenzuela,1778.5612269610149,265.94221109266107,0.06000069685939345
Ian Garry,1778.501331465574,216.37265786903154,0.059997768659203116
Al Iaquinta,1778.034165263607,110.53104629433224,0.06000373662793454
Marcin Tybura,1777.5637893285893,93.33570545501952,0.0599992981196027
Chris Curtis,1776.6787924934556,125.01508643376862,0.06000052285048391
Jim Crute,1776.6116525826058,277.8302007933617,0.06000084272487661
Sodiq Yusuff,1774.231907713906,131.5114818731683,0.05999494002726149
Chris Holdsworth,1773.4247360229729,241.2903413465395,0.05999888047428745
Jacob Malkoun,1772.0201879583437,145.30439578019167,0.06000692753683433
Anthony Smith,1771.9570427285012,88.68177761523371,0.06000220337678065
Amanda Lemos,1771.581586663463,110.00040528531628,0.06000068560566751
Tagir Ulanbekov,1771.4221673761465,148.1024506192356,0.059999995400582366
Alberto Mina,1771.1515180587023,194.17237790351106,0.059998235740934915
