fighter,cardio_score,late_finish_rate_for,late_finish_rate_against,early_finish_rate_for,early_finish_rate_against,output_drop_per_rd,accuracy_drop_per_rd,td_def_drop_per_rd,degradation_score
Terry Etim,0.75,0.0,0.5,1.0,0.5,-2.555555555555554,0.05684932498881347,0.14166666666666666,0.0546
Nick Osipczak,1.0,0.0,0.0,0.0,0.0,1.2500000000000009,0.045545389406030666,-0.05555555555555547,0.0475
DaMarques Johnson,0.5833333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,-2.099999999999999,0.16841262112314737,0.041666666666666616,0.1358
Paul Kelly,0.7499999999999999,0.0,0.0,1.0,1.0,-0.3333333333333336,0.05009591521450973,-0.16666666666666666,-0.0059
Alexander Gustafsson,0.6470588235294119,0.1666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.5818181818181818,0.07425479094268839,0.24666666666666653,0.1672
Jon Madsen,0.75,0.0,0.0,1.0,1.0,-4.374999999999998,-0.08392008790997417,0.0,-0.2025
Marcus Davis,0.8888888888888888,0.0,1.0,1.0,0.0,0.05000000000000051,0.005117637213276232,0.0,0.0268
Lyoto Machida,0.5958333333333333,0.0,0.2,1.0,0.8,-0.7421052631578942,-0.036183983026334854,-0.27428571428571386,-0.1234
Sam Stout,0.8055555555555555,0.0,0.25,1.0,0.75,1.8750000000000018,-0.004550115628334021,0.1633597883597884,0.0749
Kevin Ferguson,0.6666666666666666,0.0,0.0,0.0,1.0,1.5000000000000007,0.017733002291825874,0.0,0.079
Patrick Cote,0.888888888888889,0.5,0.5,0.5,0.5,-0.08823529411764613,-0.0035271772670955096,0.18333333333333332,0.0503
Tom Lawlor,0.7083333333333333,0.0,0.0,1.0,1.0,-9.312499999999995,-0.06686338556583118,-0.3749999999999998,-0.3178
TJ Grant,0.8333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,-1.3124999999999978,-0.05437344330977681,0.2083333333333332,-0.0089
Joey Beltran,0.9166666666666666,1.0,0.0,0.0,1.0,-2.7777777777777746,-0.03794623239422067,0.0020833333333333537,-0.0771
Yoshiyuki Yoshida,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason MacDonald,0.3333333333333333,0.0,0.0,1.0,1.0,-2.642857142857143,-0.0941348907984246,0.0,-0.1752
Josh Koscheck,0.6666666666666665,0.0,0.0,1.0,1.0,-0.2428571428571422,0.05095451292291735,-0.3166666666666666,-0.0473
Amir Sadollah,0.9523809523809524,0.0,0.0,1.0,0.0,3.4444444444444455,0.006583656554168584,0.01360544217687091,0.0667
Aaron Riley,0.7777777777777778,0.0,0.0,0.0,1.0,-0.4999999999999976,-0.003555392901276729,0.052083333333333356,0.0056
